Name,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,Id
Brandon Ingram,36,27.4,7.4,2.6,7.6,34.7,0.5,2.1,25.0,1.6,2.3,69.9,0.7,3.4,4.1,1.9,0.4,0.4,1.3,0.0,0
Malik Sealy,58,11.6,5.7,2.3,5.5,42.6,0.1,0.5,22.6,0.9,1.3,68.9,1.0,0.9,1.9,0.8,0.6,0.1,1.0,1.0,3
Matt Geiger,48,11.5,4.5,1.6,3.0,52.4,0.0,0.1,0.0,1.3,1.9,67.4,1.0,1.5,2.5,0.3,0.3,0.4,0.8,1.0,4
Don MacLean,62,10.9,6.6,2.5,5.8,43.5,0.0,0.1,50.0,1.5,1.8,81.1,0.5,1.4,2.0,0.6,0.2,0.1,0.7,1.0,6
Tracy Murray,48,10.3,5.7,2.3,5.4,41.5,0.4,1.5,30.0,0.7,0.8,87.5,0.8,0.9,1.7,0.2,0.2,0.1,0.7,1.0,7
Dave Johnson,42,8.5,3.7,1.4,3.5,38.3,0.1,0.3,21.4,1.0,1.4,67.8,0.4,0.7,1.1,0.3,0.2,0.0,0.7,0.0,9
Corey Williams,35,6.9,2.3,0.9,2.4,36.5,0.0,0.1,33.3,0.5,0.6,81.8,0.5,0.3,0.9,0.7,0.1,0.1,0.3,0.0,10
Sam Mack,40,6.7,3.6,1.2,3.0,39.8,0.1,0.6,13.6,1.1,1.5,77.6,0.5,0.8,1.2,0.4,0.3,0.1,0.6,1.0,11
P.J. Hairston,45,15.3,5.6,1.9,6.0,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2.0,0.5,0.5,0.3,0.5,0.0,13
Stephen Howard,49,5.3,2.1,0.7,1.9,37.6,0.0,0.0,0.0,0.7,1.1,64.2,0.5,0.7,1.2,0.2,0.3,0.2,0.5,0.0,16
Randy Woods,41,4.2,1.7,0.6,1.6,34.8,0.1,0.3,21.4,0.5,0.6,73.1,0.1,0.2,0.3,1.0,0.3,0.0,0.4,0.0,17
Larry Johnson,82,37.2,19.2,7.5,15.3,49.0,0.1,0.3,22.7,4.1,5.0,82.9,3.9,7.0,11.0,3.6,1.0,0.6,1.9,0.0,18
Billy Owens,80,31.4,14.3,5.9,11.1,52.5,0.0,0.1,11.1,2.6,3.9,65.4,3.0,5.0,8.0,2.4,1.1,0.8,2.2,1.0,20
Stacey Augmon,82,30.5,13.3,5.4,11.0,48.9,0.0,0.1,16.7,2.6,3.9,66.6,2.3,2.8,5.1,2.5,1.5,0.3,2.2,1.0,21
Steven Smith,61,29.6,12.0,4.9,10.7,45.4,0.7,2.0,32.0,1.6,2.1,74.8,1.3,1.8,3.1,4.6,1.0,0.3,2.5,0.0,23
Mike Iuzzolino,52,24.6,9.3,3.1,6.8,45.1,1.1,2.6,43.4,2.1,2.5,83.6,0.5,1.4,1.9,3.7,0.6,0.0,1.8,0.0,26
Paul Graham,78,22.0,10.1,3.9,8.7,44.7,0.7,1.8,39.0,1.6,2.2,74.1,0.9,2.0,3.0,2.2,1.2,0.3,1.2,0.0,28
Donald Hodge,51,20.7,8.4,3.2,6.4,49.7,0.0,0.0,0.0,2.0,2.9,66.7,2.3,3.1,5.4,0.8,0.5,0.5,1.5,1.0,29
